"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Cluster_str","Inference","R","S","Chain","Dataset","Ontology","Model","Cluster_plt"
"43","K17
(24)","GO:0007051","spindle organization",0.25,"21/549",0.000127720563821302,0.00863391011432004,0.00793211922679667,"851957/853041/854555/856577/852249/856263",6,"K17 (24)","Bayesian",676000,NA,3,"Timecourse","BP","Bayesian: chain 3",17
"44","K18
(16)","GO:0006333","chromatin assembly or disassembly",0.5625,"34/549",3.80667599120913e-08,9.09795561898982e-06,5.77011939720121e-06,"855701/855976/852284/851811/852295/851810/855700/852283/852294",9,"K18 (16)","Bayesian",676000,NA,3,"Timecourse","BP","Bayesian: chain 3",18
"45","K18
(16)","GO:0034293","sexual sporulation",0.3125,"11/549",4.4645019818923e-06,0.000342533642819402,0.000217242213459564,"855701/852295/855700/852294/853766",5,"K18 (16)","Bayesian",676000,NA,3,"Timecourse","BP","Bayesian: chain 3",18
"46","K18
(16)","GO:0043935","sexual sporulation resulting in formation of a cellular spore",0.3125,"11/549",4.4645019818923e-06,0.000342533642819402,0.000217242213459564,"855701/852295/855700/852294/853766",5,"K18 (16)","Bayesian",676000,NA,3,"Timecourse","BP","Bayesian: chain 3",18
"47","K18
(16)","GO:0006325","chromatin organization",0.5625,"58/549",5.73278063296071e-06,0.000342533642819402,0.000217242213459564,"855701/855976/852284/851811/852295/851810/855700/852283/852294",9,"K18 (16)","Bayesian",676000,NA,3,"Timecourse","BP","Bayesian: chain 3",18
"48","K18
(16)","GO:0030435","sporulation resulting in formation of a cellular spore",0.3125,"14/549",1.83774323178051e-05,0.000732034387325903,0.00046427197434455,"855701/852295/855700/852294/853766",5,"K18 (16)","Bayesian",676000,NA,3,"Timecourse","BP","Bayesian: chain 3",18
"49","K18
(16)","GO:0006259","DNA metabolic process",0.4375,"95/549",0.0111742719287403,0.0422541602375979,0.0267984984550279,"851691/855976/851811/852295/851810/855700/852283",7,"K18 (16)","Bayesian",676000,NA,3,"Timecourse","BP","Bayesian: chain 3",18
"50","K18
(16)","GO:0006281","DNA repair",0.375,"72/549",0.0113149215699007,0.0422541602375979,0.0267984984550279,"851691/851811/852295/851810/855700/852283",6,"K18 (16)","Bayesian",676000,NA,3,"Timecourse","BP","Bayesian: chain 3",18
"51","K29
(19)","GO:0042254","ribosome biogenesis",0.736842105263158,"22/549",1.58015220084099e-18,2.25961764720261e-16,1.92944900313216e-16,"854221/852569/853048/853784/851497/853956/856553/855408/850982/854021/851208/856228/851403/851656",14,"K29 (19)","Bayesian",676000,NA,3,"Timecourse","BP","Bayesian: chain 3",29
"52","K29
(19)","GO:0022613","ribonucleoprotein complex biogenesis",0.736842105263158,"23/549",4.00245377854702e-18,2.86175445166112e-16,2.44360335953397e-16,"854221/852569/853048/853784/851497/853956/856553/855408/850982/854021/851208/856228/851403/851656",14,"K29 (19)","Bayesian",676000,NA,3,"Timecourse","BP","Bayesian: chain 3",29
"53","K29
(19)","GO:0006364","rRNA processing",0.631578947368421,"17/549",2.11616676393381e-16,6.13009465952757e-15,5.23438336772321e-15,"854221/853048/853784/853956/856553/855408/850982/854021/851208/856228/851403/851656",12,"K29 (19)","Bayesian",676000,NA,3,"Timecourse","BP","Bayesian: chain 3",29
"54","K29
(19)","GO:0016072","rRNA metabolic process",0.631578947368421,"17/549",2.11616676393381e-16,6.13009465952757e-15,5.23438336772321e-15,"854221/853048/853784/853956/856553/855408/850982/854021/851208/856228/851403/851656",12,"K29 (19)","Bayesian",676000,NA,3,"Timecourse","BP","Bayesian: chain 3",29
"55","K29
(19)","GO:0034470","ncRNA processing",0.684210526315789,"22/549",2.14338974109356e-16,6.13009465952757e-15,5.23438336772321e-15,"854221/853996/853048/853784/853956/856553/855408/850982/854021/851208/856228/851403/851656",13,"K29 (19)","Bayesian",676000,NA,3,"Timecourse","BP","Bayesian: chain 3",29
"56","K31
(19)","GO:0006810","transport",0.578947368421053,"86/549",1.99742508266457e-05,0.00469743789326076,0.00405716633156125,"852960/851597/853729/854447/851211/855418/851417/853361/853406/855387/854183",11,"K31 (19)","Bayesian",676000,NA,3,"Timecourse","BP","Bayesian: chain 3",31
"57","K31
(19)","GO:0071702","organic substance transport",0.473684210526316,"59/549",4.14810753766009e-05,0.00469743789326076,0.00405716633156125,"852960/854447/851211/855418/851417/853361/853406/855387/854183",9,"K31 (19)","Bayesian",676000,NA,3,"Timecourse","BP","Bayesian: chain 3",31
"58","K31
(19)","GO:0071705","nitrogen compound transport",0.421052631578947,"47/549",5.88252354980457e-05,0.00469743789326076,0.00405716633156125,"852960/854447/851211/855418/853361/853406/855387/854183",8,"K31 (19)","Bayesian",676000,NA,3,"Timecourse","BP","Bayesian: chain 3",31
"59","K31
(19)","GO:0072594","establishment of protein localization to organelle",0.263157894736842,"15/549",6.88269288389856e-05,0.00469743789326076,0.00405716633156125,"852960/855418/853361/855387/854183",5,"K31 (19)","Bayesian",676000,NA,3,"Timecourse","BP","Bayesian: chain 3",31
"60","K31
(19)","GO:0051234","establishment of localization",0.578947368421053,"101/549",0.000102373338040765,0.00558958425702575,0.00482771109918553,"852960/851597/853729/854447/851211/855418/851417/853361/853406/855387/854183",11,"K31 (19)","Bayesian",676000,NA,3,"Timecourse","BP","Bayesian: chain 3",31
"61","K31
(19)","GO:0015031","protein transport",0.315789473684211,"32/549",0.000384525258899871,0.0131219244599581,0.0113333760517857,"852960/855418/853361/853406/855387/854183",6,"K31 (19)","Bayesian",676000,NA,3,"Timecourse","BP","Bayesian: chain 3",31
"62","K31
(19)","GO:0016192","vesicle-mediated transport",0.263157894736842,"22/549",0.000517620502706864,0.0135704557333612,0.0117207714836048,"852960/853729/853361/853406/854183",5,"K31 (19)","Bayesian",676000,NA,3,"Timecourse","BP","Bayesian: chain 3",31
"63","K32
(14)","GO:0000727","double-strand break repair via break-induced replication",0.357142857142857,"10/549",1.15318573669355e-06,0.000113276074800143,7.43537172992735e-05,"852501/852673/852258/856680/850980",5,"K32 (14)","Bayesian",676000,NA,3,"Timecourse","BP","Bayesian: chain 3",32
"64","K32
(14)","GO:0033260","nuclear DNA replication",0.428571428571429,"18/549",1.29212252623738e-06,0.000113276074800143,7.43537172992735e-05,"852501/852673/852258/856680/850980/853244",6,"K32 (14)","Bayesian",676000,NA,3,"Timecourse","BP","Bayesian: chain 3",32
"65","K32
(14)","GO:0044786","cell cycle DNA replication",0.428571428571429,"18/549",1.29212252623738e-06,0.000113276074800143,7.43537172992735e-05,"852501/852673/852258/856680/850980/853244",6,"K32 (14)","Bayesian",676000,NA,3,"Timecourse","BP","Bayesian: chain 3",32
"66","K32
(14)","GO:0006270","DNA replication initiation",0.428571428571429,"21/549",3.63322026219051e-06,0.000238884232239026,0.00015680213763138,"852501/852673/852258/856680/850980/853244",6,"K32 (14)","Bayesian",676000,NA,3,"Timecourse","BP","Bayesian: chain 3",32
"67","K32
(14)","GO:0065004","protein-DNA complex assembly",0.428571428571429,"24/549",8.66744372827622e-06,0.000379922950089441,0.000249379082708298,"852501/852673/852258/856680/850980/853244",6,"K32 (14)","Bayesian",676000,NA,3,"Timecourse","BP","Bayesian: chain 3",32
"68","K32
(14)","GO:0006302","double-strand break repair",0.428571428571429,"43/549",0.000305597431235324,0.00730655676499003,0.00479597882512853,"852501/852673/852258/851772/856680/850980",6,"K32 (14)","Bayesian",676000,NA,3,"Timecourse","BP","Bayesian: chain 3",32
"69","K32
(14)","GO:0006261","DNA-dependent DNA replication",0.428571428571429,"47/549",0.000510169919294695,0.00789262875144147,0.0051806728646644,"852501/852673/852258/856680/850980/853244",6,"K32 (14)","Bayesian",676000,NA,3,"Timecourse","BP","Bayesian: chain 3",32
"70","K32
(14)","GO:0006260","DNA replication",0.428571428571429,"51/549",0.000810808763565562,0.0112233002535654,0.00736690510940455,"852501/852673/852258/856680/850980/853244",6,"K32 (14)","Bayesian",676000,NA,3,"Timecourse","BP","Bayesian: chain 3",32
"71","K32
(14)","GO:0006259","DNA metabolic process",0.5,"95/549",0.00453920093238847,0.0386190360220059,0.0253492972087611,"852501/852673/852258/851772/856680/850980/853244",7,"K32 (14)","Bayesian",676000,NA,3,"Timecourse","BP","Bayesian: chain 3",32
"72","K32
(14)","GO:0006281","DNA repair",0.428571428571429,"72/549",0.0052758149776789,0.0405758934344354,0.0266337663528013,"852501/852673/852258/851772/856680/850980",6,"K32 (14)","Bayesian",676000,NA,3,"Timecourse","BP","Bayesian: chain 3",32
"73","K32
(14)","GO:0050896","response to stimulus",0.642857142857143,"163/549",0.00699883530726774,0.0405758934344354,0.0266337663528013,"852501/852673/853283/853671/852258/851772/856394/856680/850980",9,"K32 (14)","Bayesian",676000,NA,3,"Timecourse","BP","Bayesian: chain 3",32
"74","K32
(14)","GO:0006974","cellular response to DNA damage stimulus",0.428571428571429,"81/549",0.00966342263268021,0.0484874953764364,0.031826893102804,"852501/852673/852258/851772/856680/850980",6,"K32 (14)","Bayesian",676000,NA,3,"Timecourse","BP","Bayesian: chain 3",32
"75","K32
(14)","GO:0006325","chromatin organization",0.357142857142857,"58/549",0.0105284923223268,0.0485788329959991,0.0318868465533074,"852501/851772/856680/850980/853244",5,"K32 (14)","Bayesian",676000,NA,3,"Timecourse","BP","Bayesian: chain 3",32
"76","K3
(12)","GO:0032787","monocarboxylic acid metabolic process",0.583333333333333,"14/549",8.94588576861862e-10,1.87863601140991e-07,1.77034371000032e-07,"854556/854529/855447/854706/850317/850614/856044",7,"K3 (12)","Bayesian",676000,NA,5,"Timecourse","BP","Bayesian: chain 5",3
"77","K3
(12)","GO:0019752","carboxylic acid metabolic process",0.583333333333333,"19/549",1.26055222536154e-08,9.15191255243631e-07,8.62435869603021e-07,"854556/854529/855447/854706/850317/850614/856044",7,"K3 (12)","Bayesian",676000,NA,5,"Timecourse","BP","Bayesian: chain 5",3
"78","K3
(12)","GO:0006082","organic acid metabolic process",0.583333333333333,"20/549",1.92336875100776e-08,9.15191255243631e-07,8.62435869603021e-07,"854556/854529/855447/854706/850317/850614/856044",7,"K3 (12)","Bayesian",676000,NA,5,"Timecourse","BP","Bayesian: chain 5",3
"79","K3
(12)","GO:0043436","oxoacid metabolic process",0.583333333333333,"20/549",1.92336875100776e-08,9.15191255243631e-07,8.62435869603021e-07,"854556/854529/855447/854706/850317/850614/856044",7,"K3 (12)","Bayesian",676000,NA,5,"Timecourse","BP","Bayesian: chain 5",3
"80","K3
(12)","GO:0006091","generation of precursor metabolites and energy",0.5,"12/549",2.17902679819912e-08,9.15191255243631e-07,8.62435869603021e-07,"854556/854529/856314/850317/850614/856044",6,"K3 (12)","Bayesian",676000,NA,5,"Timecourse","BP","Bayesian: chain 5",3
"81","K9
(4)","GO:0031505","fungal-type cell wall organization",0.75,"29/549",0.000513860562875291,0.00819799178573605,0.00708848913804245,"853693/850812/856893",3,"K9 (4)","Bayesian",676000,NA,5,"Timecourse","BP","Bayesian: chain 5",9
"82","K9
(4)","GO:0071852","fungal-type cell wall organization or biogenesis",0.75,"32/549",0.000694541955313832,0.00819799178573605,0.00708848913804245,"853693/850812/856893",3,"K9 (4)","Bayesian",676000,NA,5,"Timecourse","BP","Bayesian: chain 5",9
"83","K9
(4)","GO:0045229","external encapsulating structure organization",0.75,"38/549",0.00117114168367658,0.00819799178573605,0.00708848913804245,"853693/850812/856893",3,"K9 (4)","Bayesian",676000,NA,5,"Timecourse","BP","Bayesian: chain 5",9
"84","K9
(4)","GO:0071555","cell wall organization",0.75,"38/549",0.00117114168367658,0.00819799178573605,0.00708848913804245,"853693/850812/856893",3,"K9 (4)","Bayesian",676000,NA,5,"Timecourse","BP","Bayesian: chain 5",9
"85","K9
(4)","GO:0071554","cell wall organization or biogenesis",0.75,"42/549",0.00158453101054067,0.00887337365902773,0.00767246594577586,"853693/850812/856893",3,"K9 (4)","Bayesian",676000,NA,5,"Timecourse","BP","Bayesian: chain 5",9
"86","K10
(21)","GO:0006302","double-strand break repair",0.380952380952381,"43/549",6.99806728867409e-05,0.0189647623523068,0.0187842858801252,"850584/853752/854315/850719/854198/855459/856254/850540",8,"K10 (21)","Bayesian",676000,NA,5,"Timecourse","BP","Bayesian: chain 5",10
"87","K10
(21)","GO:0006974","cellular response to DNA damage stimulus",0.476190476190476,"81/549",0.000257172763119354,0.0348469094026724,0.0345152918923343,"851399/851453/850584/853752/854315/850719/854198/855459/856254/850540",10,"K10 (21)","Bayesian",676000,NA,5,"Timecourse","BP","Bayesian: chain 5",10
"88","K12
(17)","GO:0016192","vesicle-mediated transport",0.411764705882353,"22/549",9.03125508714241e-07,0.000131856324272279,0.000102671110464356,"852129/851949/855458/854170/851055/851226/852675",7,"K12 (17)","Bayesian",676000,NA,5,"Timecourse","BP","Bayesian: chain 5",12
"89","K12
(17)","GO:0006810","transport",0.647058823529412,"86/549",4.3041302571925e-06,0.000314201508775052,0.000244655825145679,"851539/850490/852129/851949/855669/855458/854170/851462/851055/851226/852675",11,"K12 (17)","Bayesian",676000,NA,5,"Timecourse","BP","Bayesian: chain 5",12
"90","K12
(17)","GO:0051234","establishment of localization",0.647058823529412,"101/549",2.34023064989363e-05,0.0011389122496149,0.00088682424627548,"851539/850490/852129/851949/855669/855458/854170/851462/851055/851226/852675",11,"K12 (17)","Bayesian",676000,NA,5,"Timecourse","BP","Bayesian: chain 5",12
"91","K12
(17)","GO:0051179","localization",0.705882352941177,"138/549",8.01787999000013e-05,0.00292652619635005,0.00227876589189477,"851539/852751/850490/852129/851949/855669/855458/854170/851462/851055/851226/852675",12,"K12 (17)","Bayesian",676000,NA,5,"Timecourse","BP","Bayesian: chain 5",12
"92","K12
(17)","GO:0015031","protein transport",0.352941176470588,"32/549",0.000190855575137395,0.00477807764063264,0.00372049304389564,"851539/852129/855458/851462/851226/852675",6,"K12 (17)","Bayesian",676000,NA,5,"Timecourse","BP","Bayesian: chain 5",12
"93","K12
(17)","GO:0071705","nitrogen compound transport",0.411764705882353,"47/549",0.000218275835293846,0.00477807764063264,0.00372049304389564,"851539/852129/855669/855458/851462/851226/852675",7,"K12 (17)","Bayesian",676000,NA,5,"Timecourse","BP","Bayesian: chain 5",12
"94","K12
(17)","GO:0071702","organic substance transport",0.411764705882353,"59/549",0.00096156152023683,0.0127625438140525,0.00993766930005528,"851539/852129/855669/855458/851462/851226/852675",7,"K12 (17)","Bayesian",676000,NA,5,"Timecourse","BP","Bayesian: chain 5",12
"95","K13
(25)","GO:0006260","DNA replication",0.56,"51/549",1.25435832689033e-09,4.69130014256983e-07,3.72346366508498e-07,"853821/852245/855448/856305/851391/856237/851671/851266/850297/850793/855621/855950/853747/854063",14,"K13 (25)","Bayesian",676000,NA,5,"Timecourse","BP","Bayesian: chain 5",13
"96","K13
(25)","GO:0006261","DNA-dependent DNA replication",0.52,"47/549",6.12836723308112e-09,1.14600467258617e-06,9.09578715646777e-07,"853821/852245/855448/856305/851391/856237/851671/851266/850297/850793/855621/855950/854063",13,"K13 (25)","Bayesian",676000,NA,5,"Timecourse","BP","Bayesian: chain 5",13
"97","K13
(25)","GO:0006281","DNA repair",0.56,"72/549",1.8645409923791e-07,2.32446110383261e-05,1.8449142450909e-05,"853821/855642/855448/856305/851391/853371/851671/851266/850297/850793/855621/855950/853747/854063",14,"K13 (25)","Bayesian",676000,NA,5,"Timecourse","BP","Bayesian: chain 5",13
